pid,pref,cid,city,citykana,lat,lng,url,phrase
1,北海道,1472,幌加内町,ほろかないちょう,44.00979823,142.1538298,http://www.town.horokanai.hokkaido.jp/,蕎麦の里　元気な人、豊かな大地　ともに歩む協働のまち　人に自然にやさしい故郷づくり
1,北海道,1481,増毛町,ましけちょう,43.85605933,141.5249105,https://www.town.mashike.hokkaido.jp/,潮風を感じて…自然と味覚のふれあいの町　自然と共生、確かな未来へ…やさしさが実感できる故郷をめざして
1,北海道,1482,小平町,おびらちょう,44.01546152,141.6627616,https://www.town.obira.hokkaido.jp/,海と太陽と緑のさと　よろこび共感・輝きのシンフォニー第2章
1,北海道,1483,苫前町,とままえちょう,44.30614209,141.6529088,http://www.town.tomamae.lg.jp/,風かおる　人が輝き　躍動する町
1,北海道,1484,羽幌町,はぼろちょう,44.36054972,141.6973205,https://www.town.haboro.lg.jp/,心と心をつなぐハートコミュニケーションはぼろ
1,北海道,1485,初山別村,しょさんべつむら,44.53214682,141.7663169,http://www.vill.shosanbetsu.lg.jp/,星空に夢とロマンを求めて
1,北海道,1486,遠別町,えんべつちょう,44.7225084,141.7923268,http://www.town.embetsu.hokkaido.jp/,いきいきと里住夢（リズム）あふれるまち遠別町　豊かな自然　元気で笑顔あふれる明日へ
1,北海道,1487,天塩町,てしおちょう,44.88817257,141.7453521,http://www.teshiotown.hokkaido.jp/,人と自然が共生するこころ豊かで地域が輝く住みよいまち
1,北海道,1511,猿払村,さるふつむら,45.3306092,142.1089722,https://www.vill.sarufutsu.hokkaido.jp/,私たちが「創り・活かし・守り・育む」ふるさと猿払　北方に立つ個性と調和の大地（ふるさと）猿払
1,北海道,1512,浜頓別町,はまとんべつちょう,45.1237794,142.3597348,http://www.town.hamatonbetsu.hokkaido.jp/,白鳥と砂金と笑顔がいっぱい やっぱりこれが浜頓別　未来につなげよう！！ ずっと住み続けたい町 はまとんべつ
1,北海道,1513,中頓別町,なかとんべつちょう,44.96976136,142.2867365,https://www.town.nakatombetsu.hokkaido.jp/,一流の中頓別（いなか）づくり
1,北海道,1514,枝幸町,えさしちょう,44.93873333,142.5814043,http://www.town.esashi.hokkaido.jp/transfer.html,こころが結ぶ「森と海」優しさと活気あふれる北の理想郷
1,北海道,1516,豊富町,とよとみちょう,45.10285676,141.7775026,https://www.town.toyotomi.hokkaido.jp/,日本最北の温泉郷　自然と人に優しい協働のまちづくり
1,北海道,1517,礼文町,れぶんちょう,45.30308199,141.0477509,https://www.town.rebun.hokkaido.jp/,日本最北の島 花の島・礼文島　豊かな自然を未来につなぐいきいきとした元気な礼文づくり
1,北海道,1518,利尻町,りしりちょう,45.18701663,141.1395796,http://www.town.rishiri.hokkaido.jp/2s_index.htm,夢の浮島 利尻島　資源蘇生によるまちづくりをめざします
1,北海道,1519,利尻富士町,りしりふじちょう,45.2475,141.2147222,https://www.town.rishirifuji.hokkaido.jp/rishirifuji/,ふるさとの元気と輝きをもとめて
1,北海道,1520,幌延町,ほろのべちょう,45.01777778,141.8494444,https://www.town.horonobe.lg.jp/,北緯45度の風が吹く町
1,北海道,1543,美幌町,びほろちょう,43.82371383,144.1071991,http://www.town.bihoro.hokkaido.jp/,夢はぐくむ緑の大地びほろ～長生きを楽しめるまちづくり～
1,北海道,1544,津別町,つべつちょう,43.70633069,144.0248025,https://www.town.tsubetsu.hokkaido.jp/,緑とふるさと 愛林のまち津別町　田園工房のまち・つべつを目指して
1,北海道,1545,斜里町,しゃりちょう,43.91138889,144.6708333,https://www.town.shari.hokkaido.jp/,みどりと人間の調和を求めて
1,北海道,1546,清里町,きよさとちょう,43.83523767,144.5946817,https://www.town.kiyosato.hokkaido.jp/,花と緑と交流のまち　人と自然がともに輝き躍動するまち
1,北海道,1547,小清水町,こしみずちょう,43.85674521,144.4620985,https://www.town.koshimizu.hokkaido.jp/,ゆりの花と熱気球のあがる町　マイライフ・タウン 小清水　
1,北海道,1549,訓子府町,くんねっぷちょう,43.72536829,143.7416617,https://www.town.kunneppu.hokkaido.jp/,活力あふれる、エコアグリタウン 豊かなみどり あふれる笑顔 みんなでつくるふれあいのまち～子どもの歓声がひびくまちづくり～
1,北海道,1550,置戸町,おけとちょう,43.67638889,143.5863889,http://www.town.oketo.hokkaido.jp/,緑と清流のまちおけと　自然を愛し、人にやさしいまち
1,北海道,1552,佐呂間町,さろまちょう,44.01785206,143.7747668,https://www.town.saroma.hokkaido.jp/,森と湖のまち　未来をつむぐ時代
1,北海道,1555,遠軽町,えんがるちょう,44.06196432,143.5280486,https://engaru.jp/,森林（もり）と清流（みず）・こころいきいきふれあいのまち～e-ISM・イーイズム～
1,北海道,1559,湧別町,ゆうべつちょう,44.15160274,143.573035,https://www.town.yubetsu.lg.jp/,人と自然が輝くオホーツクのまちづくり
1,北海道,1560,滝上町,たきのうえちょう,44.19222222,143.0777778,https://www.town.takinoue.hokkaido.jp/,人いきいき　町わくわく　童話村たきのうえ　～自立と協働のまちづくり～
1,北海道,1561,興部町,おこっぺちょう,44.46985058,143.1239513,https://www.town.okoppe.lg.jp/cms/,魅力・活力・協力が融和し発展するまち“おこっぺ”
1,北海道,1562,西興部村,にしおこっぺむら,44.32880793,142.9444613,https://www.vill.nishiokoppe.lg.jp/,心安らぐ美しい夢のITタウン
1,北海道,1563,雄武町,おうむちょう,44.58248425,142.9618577,http://www.town.oumu.hokkaido.jp/,海・山・人ひびきあう町オホーツクおうむ　変革と創造に挑むまち・雄武
1,北海道,1564,大空町,おおぞらちょう,43.91194444,144.1725,http://www.town.ozora.hokkaido.jp/,大空と大地の中でふれあいと語らいで創る感動のまち
1,北海道,1571,豊浦町,とようらちょう,42.583409,140.711966,https://www.town.toyoura.hokkaido.jp/,いい人 いいまち 明日を拓く 豊浦町
1,北海道,1575,壮瞥町,そうべつちょう,42.55210949,140.885836,https://www.town.sobetsu.lg.jp/,湖と火山と温泉のまち　「自然・ひと・まち」が響き輝くそうべつ～火山のもたらした、めぐみの郷～
1,北海道,1578,白老町,しらおいちょう,42.55131326,141.3558661,http://www.town.shiraoi.hokkaido.jp/,北海道にある元気まち　町民が主人公 活力あふれるまち
1,北海道,1581,厚真町,あつまちょう,42.72363661,141.8778914,http://www.town.atsuma.lg.jp/office/,いのち満ちる農（みのり）の里あつま大いなる田園の町
1,北海道,1584,洞爺湖町,とうやこちょう,42.55111704,140.7642741,http://www.town.toyako.hokkaido.jp/,湖海と火山と緑の大地が結びあい元気をつくる交流のまち
1,北海道,1585,安平町,あびらちょう,42.76277778,141.8180556,https://www.town.abira.lg.jp/,『くらしの笑顔が広がる　ぬくもりと活力と躍動のまち』
1,北海道,1586,むかわ町,むかわちょう,42.57474771,141.9267449,http://www.town.mukawa.lg.jp/,人と自然が輝く清流と健康のまち
1,北海道,1601,日高町,ひだかちょう,42.48033565,142.0742968,https://www.town.hidaka.hokkaido.jp/,いきいきと働き、学び、安心と笑顔で暮らせるまち
1,北海道,1602,平取町,びらとりちょう,42.58514013,142.1286988,http://www.town.biratori.hokkaido.jp/,一人ひとりがまちづくりの主役です。輝くびらとり未来につなごう。
1,北海道,1604,新冠町,にいかっぷちょう,42.36244309,142.3184391,https://www.niikappu.jp/,「レ・コード」と「音楽」「競走馬」のまち 新冠町　笑顔あふれる レ・コードなまち　にいかっぷ
1,北海道,1607,浦河町,うらかわちょう,42.16834176,142.7682026,https://www.town.urakawa.hokkaido.jp/,丘と海の“まきば”浦河町　心豊かで活力と夢にあふれるまち 浦河町
1,北海道,1608,様似町,さまにちょう,42.12777778,142.9338889,http://www.samani.jp/,アポイの樹風（こかぜ）呼ぶまち　21世紀の鼓動 町民と歩む新しいまちづくり
1,北海道,1609,えりも町,えりもちょう,42.01638889,143.1483333,https://www.town.erimo.lg.jp/,“海と大地のふるさと”えりも町　心豊かで安心・安全な暮らしを創る。新まちづくりデザイン
1,北海道,1610,新ひだか町,しんひだかちょう,42.34125547,142.3686044,https://www.shinhidaka-hokkaido.jp/,いきいき　すこやか　誰もが主役になれるまち
1,北海道,1631,音更町,おとふけちょう,42.99413757,143.1978925,https://www.town.otofuke.hokkaido.jp/,人と大地がひびきあい躍進する快適都市おとふけ
1,北海道,1632,士幌町,しほろちょう,43.16805004,143.2414601,https://www.shihoro.jp/,協働でつくる活き生きしほろ　ふれあいユートピア
1,北海道,1633,上士幌町,かみしほろちょう,43.23263469,143.2961787,https://www.kamishihoro.jp/,人が輝き町が輝く北の元気まち
1,北海道,1634,鹿追町,しかおいちょう,43.09887653,142.9889704,https://www.town.shikaoi.lg.jp/,活きて（経済の発展）生きる（福祉の増進）まちづくり
1,北海道,1635,新得町,しんとくちょう,43.07975642,142.8389096,https://www.shintoku-town.jp/,つどい合い　ささえ合い　そだて合う　自然豊かな町づくり
1,北海道,1636,清水町,しみずちょう,43.01143823,142.8845411,http://www.town.shimizu.hokkaido.jp/,自然と心が響き合うまち・清水　長大な日高山脈と十勝川に抱かれた町
1,北海道,1637,芽室町,めむろちょう,42.91194444,143.0508333,https://www.memuro.net/,みどりの中で　子どもにやさしく　思いやりと　活力に満ちた　協働のまち
1,北海道,1638,中札内村,なかさつないむら,42.69757305,143.1323696,https://www.vill.nakasatsunai.hokkaido.jp/,キラリ輝くうるおいのまち ～花と緑とアートの村～
